Date Received,Your Title,Title-Level,Gender,Location,City,Global Region,Current Tenure,Was your previous role a CISO / Head of Security position?,Current Company Size,Industry,Industry Tier,Company Structure,Title of person you report to?,Annual Base,Annual Bonus,Est Annual Equity,Total Compensation,Which of the following functions fall under your direct responsibility and decision-making authority?,Team Size,How often do you present to the Board of Directors?,Did your most recent employment offer include a hiring bonus?,Amount of employment offer bonus?,Employment Bonus - Converted,Have you pre-negotiated a severance agreement as part of your employment?,Are you currently included in the following?,Do you have a negotiated accelerated vesting clause / early termination agreement?,Are you currently on a Board of Directors?,Are you currently on a Board of Advisors?,Are you compensated for your Advisor role?,What is the primary measure you use to justify your security budget requirements?,Do you have a personal liability insurance policy in place?,"When it comes to AI security, which area do you believe should receive the highest spending priority within the CISO’s security program?",How would you rate your organization’s current maturity in the area of AI governance and risk management?,What percentage of your organization’s overall annual information security budget do you plan to allocate to AI security?,Which aspect of AI governance and risk management poses the greatest challenge for your organization today?,What are your greatest concerns regarding AI tools in your organization?,Which AI risk management or governance frameworks is your organization currently using or planning to adopt?,Which attack vectors are your organization's highest security priorities for 2026?,"How confident are you in your internal team’s capability to evaluate and verify technical depth, leadership, and domain fit when sourcing security candidates?",Which trade-offs make hiring a security leader most difficult or costly for your organization?,Is your organization planning / considering on hiring a dedicated AI Security Leader,Record_Type,Role_Bucket,Company
Synthetic-2026,Head of Security,CISO / Head Security Level,Male,"Boston, MA, USA",Boston,North America,8,Yes,250 - 499 employees,BioTech,High Consequence,Privately Held Company,CEO,"$315,000",,"$300,000","$615,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",29,I do not report to the Board of Directors,No,,,No,Neither,No,No,Yes,No,"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,2,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls",EU AI Act requirements (compliance-driven),"AI-enhanced attacks,Mobile / BYOD threats",Very confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",I am the AI Security leader,Synthetic,CISO,Clari
11/11/2025,Executive Advisor,CISO / Head Security Level,Male,"Houston, Tx",Houston,North America,18,Yes,< 250 employees,Aerospace & Defense,High Consequence,Privately Held Company,Other,"$315,000",,"$315,000","$630,000","Third Party Risk Management (TPRM),Privacy,Fraud,Enterprise Risk",3,I do not report to the Board of Directors,No,,,No,Neither,No,No,Yes,Yes (Cash and / or Equity),Other,No,Other,Initial / ad hoc efforts,25,Other,Other,None at this time,"Third party risk attacks,Ransomware,Other",Don't Know / Not applicable,Other,No,Actual,CISO,
Synthetic-2026,Deputy CISO,NextGen,Female,"Copenhagen, USA",Copenhagen,North America,24,No,500 - 999 employees,Cloud Security,High Consequence,Publicly Traded Company,CISO,"$315,000","$41,000","$289,000","$645,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Incident Response,Information Technology (IT) / Business Technology (BizApps),Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",15,At least annually,No,,,No,Corporate Indemnification Policy,No,Yes,Yes,No,"Attack Surface / Risk Assessment,Financial and/or Risk-Based Metrics",No,Workforce training and upskilling on AI risks,Developing but inconsistent,5,Shadow AI,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Intellectual property theft through AI platforms,Regulatory compliance violations",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Zero-day exploits",Somewhat confident,"Risk of hiring someone who looks good on paper but lacks depth,Uncertainty in defining the right skills and profile for the role",I am the AI Security leader,Synthetic,Deputy CISO,JP Morgan Chase
Synthetic-2026,Global CISO,CISO / Head Security Level,Male,"Seattle, WA, USA",Seattle,North America,73,Yes,250 - 499 employees,Banking / Financial Services,High Consequence,Privately Held Company,CEO,"$315,000","$10,000","$434,000","$759,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",13,At least semi-annually,No,,,No,Corporate Indemnification Policy,No,No,No,Yes (Cash and / or Equity),"Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,2,Ensuring transparency and explainability of AI-driven decisions,"AI decision-making in security tools creating blind spots,Regulatory compliance violations",NIST AI Risk Management Framework (AI RMF),"Cloud misconfigurations,Insider threats",Somewhat confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",I am the AI Security leader,Synthetic,CISO,ThreatConnect
Synthetic-2026,VP of Information Security,NextGen,Male,"Austin, TX, USA",Austin,North America,75,No,1000 - 4999 employees,Banking / Financial Services,High Consequence,Privately Held Company,CISO,"$315,000","$46,000","$450,000","$811,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Privacy,Product Security / AppSec,Security Operations",6,I do not report to the Board of Directors,No,,,No,Neither,No,No,No,Yes (Cash and / or Equity),"Business Impact,Financial and/or Risk-Based Metrics",No,Monitoring and detection for AI-driven threats,Established and repeatable,5,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Intellectual property theft through AI platforms",None at this time,"API security,Phishing/social engineering",Very confident,"Competing with salary expectations in the market,Time spent screening unqualified candidates",Already have a dedicated AI Security leader in place,Synthetic,VP Security,Verkada
Synthetic-2026,CISO,CISO / Head Security Level,Male,"Boston, MA, USA",Boston,North America,134,Yes,250 - 499 employees,Enterprise SaaS,High Consequence,Privately Held Company,CEO,"$315,000","$100,000","$400,000","$815,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Privacy,Product Security / AppSec,Third Party Risk Management (TPRM)",13,At least quarterly,No,,,Yes,Corporate Directors & Officers (D&O) Policy,No,No,No,No,"Attack Surface / Risk Assessment,Business Impact",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Established and repeatable,15,Establishing regulatory compliance and auditability for AI systems,"AI-generated content being used in social engineering attacks,Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Identity/credential theft",Somewhat confident,"Other,Risk of hiring someone who looks good on paper but lacks depth",Yes,Synthetic,CISO,NinjaRMM
Synthetic-2026,"Director, Security Engineering",NextGen,Male,"Tampa, USA",Tampa,North America,9,No,"10,000 - 25,000 employees",Artificial Intelligence (AI),High Consequence,Publicly Traded Company,CISO,"$315,000","$58,000","$502,000","$875,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Privacy,Security Operations,Third Party Risk Management (TPRM)",35,I do not report to the Board of Directors,No,,,Yes,Neither,No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Established and repeatable,3,Shadow AI,"Regulatory compliance violations,Shadow AI usage bypassing security controls",Other,"AI-enhanced attacks,Cloud misconfigurations,Insider threats,Ransomware,Third party risk attacks",Not confident,"Lack of alignment on the role requirements,Time spent screening unqualified candidates",I am the AI Security leader,Synthetic,Director Security Engineering,JP Morgan Chase
12/4/2025,CISO,CISO / Head Security Level,Male,San Francisco/CA/USA,Bay Area,North America,2,Yes,< 250 employees,Artificial Intelligence (AI),High Consequence,Privately Held Company,Chief Technology Officer,"$315,000","$53,000","$605,000","$973,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",5,Per request,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,Yes (Cash and / or Equity),"Compliance and Regulatory Fine(s) Avoidance,Attack Surface / Risk Assessment",No,Third-party/vendor AI risk management,Initial / ad hoc efforts,5,Managing third-party/vendor AI risk,"Integration with critical systems creating attack vectors,Dependency on AI vendors with unclear security practices",None at this time,"Identity/credential theft,API security",Somewhat confident,"Risk of hiring someone who looks good on paper but lacks depth,Competing with salary expectations in the market",No,Actual,CISO,
Synthetic-2026,"Director, GRC",NextGen,Male,"New York, NY, USA",NYC Metro,North America,117,Yes,"5000 - 9,999 employees",Enterprise SaaS,High Consequence,Publicly Traded Company,CISO,"$315,000","$56,000","$664,000","$1,035,000","AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Privacy,Product Security / AppSec,Security Operations",100,I do not report to the Board of Directors,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,Yes,Yes (Cash and / or Equity),"Business Impact,Financial and/or Risk-Based Metrics,Other",Yes,Monitoring and detection for AI-driven threats,Developing but inconsistent,5,Other,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices",Other,"AI-enhanced attacks,Cloud misconfigurations",Somewhat confident,Lack of alignment on the role requirements,No,Synthetic,Director GRC,Varonis
Synthetic-2026,DCISO,NextGen,Male,"Charleston, SC, USA",Charleston,North America,9,No,1000 - 4999 employees,Banking / Financial Services,High Consequence,Privately Held Company,CISO,"$315,000",,"$790,000","$1,105,000","AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Other,Security Operations,Third Party Risk Management (TPRM)",4,I do not report to the Board of Directors,No,,,No,Neither,No,No,No,No,Business Impact,No,Third-party/vendor AI risk management,Initial / ad hoc efforts,10,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Intellectual property theft through AI platforms",NIST AI Risk Management Framework (AI RMF),"Phishing/social engineering,Zero-day exploits",Very confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",I am the AI Security leader,Synthetic,Deputy CISO,SalesLoft
11/12/2025,CISO,CISO / Head Security Level,Female,"Austin, TX USA",Austin,North America,52,Yes,1000 - 4999 employees,Banking / Financial Services,High Consequence,Publicly Traded Company,Chief Technology Officer,"$315,000","$35,000","$790,000","$1,140,000","AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Incident Response,Physical Security / Executive Protection,Privacy,Security Operations,Third Party Risk Management (TPRM),Trust & Safety,Product Security / AppSec,Infrastructure Engineering / Operations,AI Data Protection / Privacy and Security",75,At least quarterly,No,,,No,Neither,No,No,No,,Business Impact,No,Third-party/vendor AI risk management,Developing but inconsistent,0,Defining clear accountability/ownership for AI risk across the business,"Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls",None at this time,"Identity/credential theft,Third party risk attacks",Not confident,Time spent screening unqualified candidates,No,Actual,CISO,
Synthetic-2026,GRC Director,NextGen,Male,"Boston, MA, USA",Boston,North America,49,No,"10,000 - 25,000 employees",Enterprise SaaS,High Consequence,Publicly Traded Company,CISO,"$315,000","$49,000","$790,000","$1,154,000","AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Enterprise Risk,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",31,Per request,Yes,"$50,000","$50,000",No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,Yes,No,"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,20,Shadow AI,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls","ISO/IEC 23894 (AI Risk Management),NIST AI Risk Management Framework (AI RMF)","AI-enhanced attacks,API security",Not confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring",No,Synthetic,Director GRC,Marriott
